,Unnamed: 0,point_id,u,v,street_id,street,longitude,latitude
1267,91016,91016,699766883,699766895,31455,"LINESTRING (-83.0488392 42.3371583, -83.0489037 42.33715029999999, -83.0489424 42.337132, -83.0489741 42.337111, -83.04899499999999 42.3370774, -83.0490009 42.3370371, -83.04898659999999 42.336994499999996, -83.0489507 42.33695709999999, -83.0488994 42.3369326, -83.0488427 42.3369122)",-83.04898003172573,42.33710146383032
1268,91017,91017,699766883,699766895,31455,"LINESTRING (-83.0488392 42.3371583, -83.0489037 42.33715029999999, -83.0489424 42.337132, -83.0489741 42.337111, -83.04899499999999 42.3370774, -83.0490009 42.3370371, -83.04898659999999 42.336994499999996, -83.0489507 42.33695709999999, -83.0488994 42.3369326, -83.0488427 42.3369122)",-83.04897614681504,42.33698361005472
1269,91018,91018,699766883,62806924,31456,"LINESTRING (-83.0488392 42.3371583, -83.04913500000002 42.3371556, -83.04922049999999 42.33715479999999, -83.0493581 42.3371535)",-83.04901216702638,42.33715672119349
1270,91019,91019,699766883,62806924,31456,"LINESTRING (-83.0488392 42.3371583, -83.04913500000002 42.3371556, -83.04922049999999 42.33715479999999, -83.0493581 42.3371535)",-83.04918513385863,42.33715513091126
1271,91020,91020,699766895,1262232128,31457,"LINESTRING (-83.0488427 42.3369122, -83.04813059999998 42.336916499999994, -83.0481109 42.336916599999995)",-83.04859876673093,42.33691367298565
1272,91021,91021,699766895,1262232128,31457,"LINESTRING (-83.0488427 42.3369122, -83.04813059999998 42.336916499999994, -83.0481109 42.336916599999995)",-83.04835483346187,42.33691514597126
1273,91022,91022,701897113,62730158,31458,"LINESTRING (-83.0432425 42.331643699999994, -83.0432665 42.3317207, -83.043332 42.33189349999999, -83.0433491 42.331952, -83.04335369999998 42.3319653, -83.0434059 42.33210149999999, -83.04345999999998 42.332187299999994, -83.0435682 42.33227479999999)",-83.04332122151943,42.33186506459078
1274,91023,91023,701897113,62730158,31458,"LINESTRING (-83.0432425 42.331643699999994, -83.0432665 42.3317207, -83.043332 42.33189349999999, -83.0433491 42.331952, -83.04335369999998 42.3319653, -83.0434059 42.33210149999999, -83.04345999999998 42.332187299999994, -83.0435682 42.33227479999999)",-83.04340010044511,42.33208636784263
1275,91024,91024,701897113,62812259,31459,"LINESTRING (-83.0432425 42.331643699999994, -83.0432684 42.33168619999999, -83.04329049999998 42.331709, -83.0433106 42.331722400000004, -83.0433334 42.3317298, -83.0433676 42.331736299999996, -83.043414 42.3317359, -83.04349419999998 42.331733699999994)",-83.04329345637471,42.33171097091665
1276,91025,91025,701897113,62812259,31459,"LINESTRING (-83.0432425 42.331643699999994, -83.0432684 42.33168619999999, -83.04329049999998 42.331709, -83.0433106 42.331722400000004, -83.0433334 42.3317298, -83.0433676 42.331736299999996, -83.043414 42.3317359, -83.04349419999998 42.331733699999994)",-83.0433892787559,42.331736113114175
1277,91187,91187,738203892,738203893,31533,"LINESTRING (-83.0368053 42.3372544, -83.03686899999998 42.337347799999996)",-83.03682653333333,42.33728553334875
1278,91188,91188,738203892,738203893,31533,"LINESTRING (-83.0368053 42.3372544, -83.03686899999998 42.337347799999996)",-83.03684776666665,42.33731666668208
1279,91189,91189,738203892,8199781383,31534,"LINESTRING (-83.0368053 42.3372544, -83.03670619999998 42.3372971, -83.0362255 42.337504, -83.03560949999999 42.33776919999999)",-83.03641717571134,42.337421500175886
